iter	Passed	Remaining
0	134	13322
1	140	6905
2	148	4786
3	154	3700
4	160	3057
5	166	2613
6	172	2296
7	179	2062
8	185	1873
9	190	1718
10	197	1598
11	203	1491
12	209	1405
13	215	1326
14	221	1256
15	228	1199
16	234	1145
17	240	1097
18	247	1056
19	253	1014
20	261	984
21	267	948
22	273	916
23	279	885
24	285	856
25	297	846
26	316	857
27	329	846
28	337	826
29	348	813
30	355	790
31	364	773
32	370	753
33	377	733
34	384	713
35	391	695
36	397	676
37	403	658
38	409	641
39	416	624
40	423	608
41	430	594
42	436	579
43	443	565
44	450	550
45	457	536
46	463	522
47	469	508
48	475	495
49	481	481
50	489	470
51	495	457
52	501	444
53	507	432
54	513	420
55	520	408
56	527	397
57	533	386
58	540	375
59	546	364
60	552	353
61	559	343
62	566	332
63	572	322
64	578	311
65	584	301
66	592	291
67	598	281
68	605	271
69	611	262
70	617	252
71	625	243
72	631	233
73	637	224
74	644	214
75	650	205
76	657	196
77	664	187
78	670	178
79	677	169
80	683	160
81	691	151
82	698	143
83	706	134
84	713	125
85	722	117
86	729	109
87	736	100
88	743	91
89	750	83
90	758	74
91	764	66
92	771	58
93	778	49
94	785	41
95	792	33
96	798	24
97	805	16
98	811	8
99	819	0
